source,target,interaction_type,interaction_value,stage
sem3,sem8,co,-1,58
sem1,sem17,co,1,58
sem4,sem7,co,1,58
sem11,sem15,co,1,58
sem6,sem10,co,1,58
sem10,sem12,co,1,58
sem12,sem13,co,1,58
sem13,sem14,co,1,58
sem14,sem15,co,1,58
sem6,sem12,co,1,58
sem6,sem13,co,1,58
sem6,sem14,co,1,58
sem10,sem13,co,1,58
sem10,sem14,co,1,58
sem10,sem15,co,1,58
sem12,sem14,co,1,58
sem12,sem15,co,1,58
sem13,sem15,co,1,58
