source,target,interaction_type,interaction_value,stage
sem12,sem6,co,1,62
sem21,sem16,co,1,62
sem23,sem15,co,1,62
sem6,sem14,co,1,62
sem13,sem18,co,1,62
sem10,sem13,co,1,62
sem18,sem16,co,1,62
sem8,sem16,co,1,62
aem15,sem8,co,1,62
sem17,sem8,co,1,62
sem14,sem10,co,1,62
sem14,sem17,co,1,62
sem10,sem15,co,1,62
sem17,sem10,co,1,62
sem15,sem17,co,1,62
