source,target,interaction_type,interaction_value,stage
sem3,sem25,co,-1,80
sem23,sem3,co,-1,80
sem3,sem18,co,-1,80
sem23,sem12,co,1,80
sem4,sem13,co,1,80
sem7,sem10,co,1,80
sem19,sem18,co,1,80
sem16,sem18,co,1,80
sem17,sem15,co,1,80
sem21,sem12,co,1,80
sem14,sem20,co,1,80
sem14,sem24,co,1,80
sem15,sem19,co,1,80
sem19,sem24,co,1,80
sem20,sem24,co,1,80
sem12,sem18,co,1,80
sem18,sem24,co,1,80
