source,target,interaction_type,interaction_value
arisa5,arisa61,co,1
arisa13,arisa21,co,1
arisa21,arisa33,co,1
arisa33,arisa29,co,1
arisa29,arisa21,co,1
arisa37,arisa13,co,1
arisa13,arisa33,co,1
arisa29,arisa13,co,1
arisa33,arisa37,co,1
